total_steps,n_surveys,n_drills,n_discoveries,total_reward,avg_belief_drill,discovery_rate,total_spent,reward_per_usd,policy,trial,location
25,8,4,2,14800.0,0.2,0.5,4800,3.0833333333333335,random,14,mali
27,9,3,3,24900.0,0.20000000000000004,1.0,4500,5.533333333333333,random,15,mali
30,8,5,3,24600.0,0.2,0.6,4800,5.125,random,16,mali
35,9,4,4,34700.0,0.2,1.0,4500,7.711111111111111,random,17,mali
25,8,4,3,25000.0,0.2,0.75,4400,5.681818181818182,random,18,mali
34,8,4,3,25000.0,0.2,0.75,4400,5.681818181818182,random,19,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,0,mali
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,greedy,1,mali
13,9,4,4,34700.0,0.6521739130434783,1.0,4500,7.711111111111111,greedy,2,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,3,mali
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,greedy,4,mali
14,8,6,6,54800.0,0.6521739130434784,1.0,4000,13.7,greedy,5,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,6,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,7,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,8,mali
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,greedy,9,mali
14,8,6,6,54800.0,0.6521739130434784,1.0,4000,13.7,greedy,10,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,11,mali
14,8,6,6,54800.0,0.6521739130434784,1.0,4000,13.7,greedy,12,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,13,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,14,mali
14,8,6,6,54800.0,0.6521739130434784,1.0,4000,13.7,greedy,15,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,16,mali
14,8,6,6,54800.0,0.6521739130434784,1.0,4000,13.7,greedy,17,mali
14,8,6,6,54800.0,0.6521739130434784,1.0,4000,13.7,greedy,18,mali
14,8,6,6,54800.0,0.6521739130434784,1.0,4000,13.7,greedy,19,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,0,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,1,mali
13,9,4,4,34700.0,0.6521739130434783,1.0,4500,7.711111111111111,ucb,2,mali
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,ucb,3,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,4,mali
14,7,7,6,54900.0,0.6521739130434784,0.8571428571428571,3900,14.076923076923077,ucb,5,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,6,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,7,mali
14,8,6,6,54800.0,0.6521739130434784,1.0,4000,13.7,ucb,8,mali
14,8,6,6,54800.0,0.6521739130434784,1.0,4000,13.7,ucb,9,mali
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,ucb,10,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,11,mali
14,8,6,5,44600.0,0.6521739130434784,0.8333333333333334,4400,10.136363636363637,ucb,12,mali
14,8,6,6,54800.0,0.6521739130434784,1.0,4000,13.7,ucb,13,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,14,mali
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,ucb,15,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,16,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,17,mali
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,ucb,18,mali
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,19,mali
