location,longitude,latitude,NDVI_Landsat_mean,NDVI_Landsat_std,NDVI_texture,NIR,Red,SWOIR1,SWOIR2,TPI,aspect,brightness,current_NDVI,elevation,slope
namibia,15.963062598803898,-24.87435021726955,0.05351424589753151,0.010968488746004383,0.008651388815034241,3128.0,2640.0,3860.0,3661.0,0,226.8011932373047,2884.0,0.08460471779108047,967,1.2488757371902466
namibia,15.981028904486289,-24.87435021726955,0.06030239164829254,0.012584944054562905,0.00813769820326998,3518.0,2909.6666666666665,4447.0,4181.5,0,254.43621826171875,3213.833333333333,0.09464295208454132,998,1.8897384405136108
namibia,15.998995210168678,-24.87435021726955,0.05100032687187195,0.009991320792724516,0.008695840153750413,2487.0,2132.0,3328.0,3096.0,0,211.9506072998047,2309.5,0.07685646414756775,1081,2.594311475753784
namibia,16.01696151585107,-24.87435021726955,0.049818698316812515,0.012154380959512346,0.009705413397207884,2304.583333333333,1993.5,2878.625,2652.0,0,185.5172882080078,2149.0416666666665,0.07237721979618073,1084,2.8222575187683105
namibia,16.034927821533458,-24.87435021726955,0.0678115114569664,0.016946079142604185,0.012272208955161826,3609.0,3018.75,4553.0,4240.5,0,215.40121459960938,3313.875,0.08905737102031708,1098,1.3509637117385864
namibia,16.05289412721585,-24.87435021726955,0.07353468239307404,0.01942909811188105,0.012588949355773559,3613.5,2994.5,4554.25,4213.5,0,238.99351501464844,3304.0,0.09367433190345764,1133,1.4906868934631348
namibia,16.07086043289824,-24.87435021726955,0.07843798398971558,0.025049834025834196,0.011564267622882377,3391.0,2766.333333333333,4257.5,3852.0,0,265.3323059082031,3078.6666666666665,0.1014508455991745,1178,1.6023597717285156
australia,119.80830944302059,-23.45501206836071,0.09581214934587479,0.01636708960926959,0.03733080548835658,2057.0,1399.0,2837.5,2518.0,0,26.358226776123047,1728.0,0.19039352238178253,534,0.17790807783603668
australia,119.82627574870298,-23.45501206836071,0.09468252211809158,0.017017815683351326,0.030786426186833995,1798.0,1189.5,2537.3333333333335,2164.5,0,17.2994384765625,1493.75,0.20368200540542603,530,0.1062505841255188
australia,119.84424205438536,-23.45501206836071,0.10613840073347092,0.021447171327249385,0.02898849002108752,2139.5,1450.0,3112.0,2841.5,0,349.7027282714844,1794.75,0.1920880377292633,532,0.08837562799453735
australia,119.86220836006775,-23.45501206836071,0.10864496231079102,0.021052762069434735,0.027879034078262283,2481.0,1532.0,3278.6666666666665,2706.6666666666665,0,0.0,2006.5,0.2364814281463623,531,0.07246018946170807
australia,119.88017466575015,-23.45501206836071,0.10188251733779907,0.018837267902121518,0.02451239485121084,2363.0,1552.0,3415.0,2968.0,0,328.0808410644531,1957.5,0.20715197920799255,532,0.11951552331447601
australia,119.89814097143254,-23.45501206836071,0.1019146516919136,0.020261639282650803,0.024587363632111996,2274.5,1502.0,3076.6666666666665,2547.0,0,329.2644958496094,1888.25,0.204554483294487,535,0.1854628622531891
australia,119.91610727711493,-23.45501206836071,0.1040416955947876,0.01951169867958955,0.024024663659423504,2232.75,1434.0,3192.5,2820.3333333333335,0,318.9092102050781,1833.375,0.21783596277236938,538,0.19228589534759521
australia,119.93407358279732,-23.45501206836071,0.10451819747686386,0.02317180366233012,0.021583214699398775,2355.5,1558.25,3391.0,2996.0,0,297.2942810058594,1956.875,0.20370489358901978,543,0.28442761301994324
australia,119.95203988847972,-23.45501206836071,0.10245814919471741,0.02259976871766182,0.01701214753424119,2577.6666666666665,1680.3333333333333,3614.0,3038.25,0,283.7461853027344,2129.0,0.2107405662536621,554,0.24395054578781128
australia,119.9700061941621,-23.45501206836071,0.10295646637678146,0.021780338691092097,0.018743883972531596,2672.35,1834.6666666666667,3858.25,3229.0,0,350.23394775390625,2253.508333333333,0.18586204946041107,558,0.27939552068710327
australia,119.80830944302059,-23.437045762678316,0.08945787698030472,0.015080839627580198,0.04047881278645895,2138.0,1450.5,3076.0,2780.0,0,25.846460342407227,1794.25,0.19158422946929932,527,0.14492569863796234
australia,119.82627574870298,-23.437045762678316,0.09925157576799393,0.017789908720147723,0.03475282586301051,2345.0,1547.0,3313.0,3001.5,0,342.7027587890625,1946.0,0.2050359696149826,526,0.10624932497739792
australia,119.84424205438536,-23.437045762678316,0.10320381075143814,0.019997587274434233,0.0325108803503543,2126.5,1342.5,2841.0,2353.0,0,334.9618225097656,1734.5,0.22600172460079193,529,0.1119660884141922
australia,119.86220836006775,-23.437045762678316,0.10367804765701294,0.021159216692908208,0.03177551486755244,2284.0,1461.0,3291.6666666666665,2867.0,0,0.0,1872.5,0.21975967288017273,529,0.08695220947265625
australia,119.88017466575015,-23.437045762678316,0.1062019020318985,0.01924466826084155,0.028542872311860677,2422.0,1589.0,3493.0,3038.5,0,351.1497497558594,2005.5,0.207678884267807,529,0.10266657918691635
australia,119.89814097143254,-23.437045762678316,0.09815757721662521,0.018768218512325865,0.021087263190289567,2307.0,1546.0,3354.0,2981.0,0,312.53570556640625,1926.5,0.19750843942165375,530,0.1286180019378662
australia,119.91610727711493,-23.437045762678316,0.09863793849945068,0.020445012392796412,0.021294848507037414,2445.0,1658.0,3695.0,3157.0,0,278.6939392089844,2051.5,0.19181087613105774,535,0.19174876809120178
australia,119.93407358279732,-23.437045762678316,0.09936855733394623,0.021509240104714597,0.019124419938338088,2384.0,1585.0,3509.3333333333335,3017.0,0,287.9427795410156,1984.5,0.2013101577758789,542,0.28224897384643555
