location,longitude,latitude,NDVI_Landsat_mean,NDVI_Landsat_std,NDVI_texture,NIR,Red,SWOIR1,SWOIR2,TPI,aspect,brightness,current_NDVI,elevation,slope,pca_feature_1,pca_feature_2,pca_feature_3,pca_feature_4,pca_feature_5
namibia,16.07086043289824,-25.00011435704629,0.0553046949207782,0.0135858552536984,0.0105574240360369,2817.416666666667,2407.083333333333,3365.0,3113.666666666667,0,348.3109436035156,2612.25,0.0785402134060859,1077,3.31127405166626,0.6902570993401937,-3.6203218458031095,1.2727216911469472,1.8356536045364857,-0.6516813941437478
namibia,15.909163681756729,-24.982148051363893,0.0601086318492889,0.0090658353839253,0.0096158543997236,2547.0,2089.0,3340.0,3020.0,0,268.2977600097656,2318.0,0.0987920612096786,1032,0.9756317734718324,-0.18761677830294246,-2.5863465319601855,0.32365652678047513,-0.1911111056415478,-0.08300534629264342
namibia,15.927129987439116,-24.982148051363893,0.0666118487715721,0.0083799542755462,0.0095943877804117,3461.0,2842.3333333333335,4402.666666666667,4037.0,0,237.07962036132812,3151.666666666667,0.0981491282582283,1109,1.0665016174316406,1.9926555066440552,-2.0618772711614413,0.17144089816151292,-0.26651183034681514,0.44541733958891433
namibia,15.945096293121509,-24.982148051363893,0.077533483505249,0.0123087719668082,0.011568833185512,4024.0,3290.2,5066.25,4724.25,0,120.18759155273438,3657.1,0.1003253981471061,1088,1.239101529121399,3.3606336774348278,-1.300711599149786,-0.6223080506685648,0.07324611216907098,0.5864469002298421
namibia,15.963062598803898,-24.982148051363893,0.071862556040287,0.0087541312324242,0.0128647210216919,3833.5,3193.0,4807.0,4566.0,0,109.33430480957033,3513.25,0.0911549106240272,1042,1.5753991603851318,3.026107833341196,-1.6540953607897633,-0.7502443689114819,0.35062037557395925,0.4089329307888709
namibia,15.981028904486289,-24.982148051363893,0.0640152022242546,0.011032082460096,0.0130094238413812,3425.5,2857.5,4300.0,4098.0,0,101.38835144042967,3141.5,0.0904026702046394,995,1.174124240875244,1.9893318576333536,-1.7111219618854372,-0.9120999589702566,0.06272313591930906,0.15524215487958237
namibia,15.998995210168678,-24.982148051363893,0.0640349835157394,0.0256867090395038,0.0121008524814678,2953.2,2507.25,3523.4,3157.0,0,42.5948371887207,2730.225,0.0816690921783447,970,0.4724545180797577,0.6219883718511171,-1.33432227954287,-1.4189773986214442,-0.19945423767422968,-0.5270178036762224
namibia,16.01696151585107,-24.982148051363893,0.0587363950908184,0.0139728110632049,0.0111045771905531,2718.5833333333335,2343.5,3208.6666666666665,2950.7,0,331.11761474609375,2531.041666666667,0.0740966349840164,975,0.7281934022903442,0.02556083991019372,-2.4686661277596182,0.7989928101202054,-0.6603306238604292,-0.3723210643721887
namibia,16.034927821533458,-24.982148051363893,0.0561047531664371,0.0178539018372309,0.0088597743505803,3112.25,2659.8,3879.5,3590.6,0,315.72607421875,2886.025,0.0783863589167594,992,0.870252788066864,1.127965616006518,-2.1345956833369937,0.7837985978543339,-0.5707056343790233,-0.23038576699894234
namibia,16.05289412721585,-24.982148051363893,0.0576030984520912,0.0137969102106922,0.0082064028290022,3051.6666666666665,2575.5,3644.0,3403.0,0,317.7428283691406,2813.583333333333,0.0846192613244056,1013,0.9984943270683287,0.8729553962583206,-2.3744786488875125,0.7774744911916371,-0.41802669626667155,-0.11771450613545396
